MultimediaTC,Status,Reason,TestResult
AudioPause,Paused,Music is paused,Pass
AudioPlay,Playing,Music is played,Pass
AudioVolume,volume changed,Volume is changed,Pass
AudioRepeatAll,RepeatAll mode,Mode is changed to RepeatAll,Pass
AudioShuffle,failed,Mode is changed to shuffleAll,Pass
AudioRepeatOne,Repeat mode,Mode is changed to RepeatOne,Pass
AudioDelete,song deleted,Music is Deleted,Pass
AudioRingtone,Ringtone set,Music is set as ringtone,Pass
AudioTrickMode,TrickMode check,Trick mode is working,Pass
EqalizerEffect,Pass,equlizereffects,Pass
AudioPlay,Playing,Music is played,Pass
AudioPlay,Playing,Music is played,Pass
AudioPlay,Playing,Music is played,Pass
AudioPlay,Playing,Music is played,Pass
AudioPlay,Playing,Music is played,Pass
AudioShare,Audio share passed,Audio is shared,Pass
AudioQueue,Failed to add to queue,Music is added to queue,Pass
