MultimediaTC,Status,Reason,TestResult
AudioPause,pause fail,Music is not paused,Fail
AudioPlay,not playing,Music is not played,Fail
AudioVolume,not found,Volume is not changed,Fail
AudioRepeatAll,RepeatAll failed,Mode is not changed to RepeatAll,Fail
AudioShuffle,failed,Mode is not changed to shuffleAll,Fail
AudioRepeatOne,Repeat mode,Mode is not changed to RepeatOne,Fail
AudioDelete,not found,Music is not Deleted,Fail
AudioRingtone,Ringtone set failed,Music is not set as ringtone,Fail
AudioTrickMode,failed,Trick mode is not working,Fail
EqalizerEffect,Fail,equlizereffects,Fail
AudioPlay,not playing,Music is not played,Fail
AudioPlay,not playing,Music is not played,Fail
AudioPlay,not playing,Music is not played,Fail
AudioPlay,not playing,Music is not played,Fail
AudioPlay,not playing,Music is not played,Fail
AudioShare,Audio share passed,Music is not shared,Fail
AudioQueue,Audio share passed,Not in Queue,Fail
